Title,Date & Time,Summary,Article,Annotated_Summary,Generated_Summary
"In Bihar, Ganga water has not conformed to faecal coliform levels at 34 sites, state pollution control board tells NGT","March 19, 2025 3:11 pm","The Central Pollution Control Board had submitted to the National Green Tribunal that faecal coliform levels in the Ganga water at the Sangam during the Mahakumbh were higher than permissible limits, making it unfit for bathing.","In Bihar, Ganga water has not conformed to faecal coliform levels at 34 sites, state pollution control board tells NGT. The Central Pollution Control Board had submitted to the National Green Tribunal that faecal coliform levels in the Ganga water at the Sangam during the Mahakumbh were higher than permissible limits, making it unfit for bathing.","The Central Pollution Control Board had submitted to the National Green Tribunal that faecal coliform levels in the Ganga water at the Sangam during the Mahakumbh were higher than permissible limits, making it unfit for bathing.","The Central Pollution Control Board had submitted to the National Green Tribunal that faecal coliform levels in the Ganga water at the Sangam during the Mahakumbh were higher than permissible limits, making it unfit for bathing."
Maha Kumbh awakened nation like Dandi; Opposition questions silence on stampede: PM Modi,"March 19, 2025 1:01 am",He also said that the successful conduct of the religious event gave a fitting response to doubts and uncertainties that some may have had regarding Indias collective strength.,Maha Kumbh awakened nation like Dandi; Opposition questions silence on stampede: PM Modi. He also said that the successful conduct of the religious event gave a fitting response to doubts and uncertainties that some may have had regarding Indias collective strength.,He also said that the successful conduct of the religious event gave a fitting response to doubts and uncertainties that some may have had regarding Indias collective strength.,Maha Kumbh awakened nation like Dandi; Opposition questions silence on stampede: PM Modi. He also said that the successful conduct of the religious event gave a fitting response to doubts and uncertainties that some may have had regarding Indias collective strength.
Ganga water was fit for bathing during Mahakumbh: Govt tells Parliament,"March 10, 2025 7:40 pm",A report dated February 3 had said the water at several locations in Prayagraj during the Maha Kumbh did not meet the primary bathing water quality standard due to high faecal coliform levels.,Ganga water was fit for bathing during Mahakumbh: Govt tells Parliament. A report dated February 3 had said the water at several locations in Prayagraj during the Maha Kumbh did not meet the primary bathing water quality standard due to high faecal coliform levels.,A report dated February 3 had said the water at several locations in Prayagraj during the Maha Kumbh did not meet the primary bathing water quality standard due to high faecal coliform levels.,A report dated February 3 had said the water at several locations in Prayagraj during the Maha Kumbh did not meet the primary bathing water quality standard due to high faecal coliform levels.
Boatman who earned 30 crore during Mahakumbh sold family jewellery: Report,"March 06, 2025 6:46 pm",The story gained national attention after Uttar Pradesh Chief Minister Yogi Adityanath cited Mahras journey as an example of the economic opportunities created by the Mahakumbh.,Boatman who earned 30 crore during Mahakumbh sold family jewellery: Report. The story gained national attention after Uttar Pradesh Chief Minister Yogi Adityanath cited Mahras journey as an example of the economic opportunities created by the Mahakumbh.,The story gained national attention after Uttar Pradesh Chief Minister Yogi Adityanath cited Mahras journey as an example of the economic opportunities created by the Mahakumbh.,The story gained national attention after Uttar Pradesh Chief Minister Yogi Adityanath cited Mahras journey as an example of the economic opportunities created by the Mahakumbh.
"Boat-owning family in UP raked in Rs 30 crore in 45 days of Mahakumbh, claims Yogi Adityanath","March 06, 2025 5:50 am","According to Yogi Adityanath, the Mahra family, operators of 130 boats, generated between Rs 50,000 and 52,000 per boat each day throughout the festival.","Boat-owning family in UP raked in Rs 30 crore in 45 days of Mahakumbh, claims Yogi Adityanath. According to Yogi Adityanath, the Mahra family, operators of 130 boats, generated between Rs 50,000 and 52,000 per boat each day throughout the festival.","According to Yogi Adityanath, the Mahra family, operators of 130 boats, generated between Rs 50,000 and 52,000 per boat each day throughout the festival.","According to Yogi Adityanath, the Mahra family, operators of 130 boats, generated between Rs 50,000 and 52,000 per boat each day throughout the festival. The Mahra family, operators of 130 boats, generated between Rs 50,000 and 52,000 per boat each day throughout the festival."
Miyawaki method at Mahakumbh 2025: How the afforestation technique works,"March 04, 2025 1:34 pm","With the stated aim of curbing pollution, the Uttar Pradesh government employed the Miyawaki method in Prayagraj. Why has it become popular in many parts of the world, and received criticism from some conservationists?","Miyawaki method at Mahakumbh 2025: How the afforestation technique works. With the stated aim of curbing pollution, the Uttar Pradesh government employed the Miyawaki method in Prayagraj. Why has it become popular in many parts of the world, and received criticism from some conservationists?","With the stated aim of curbing pollution, the Uttar Pradesh government employed the Miyawaki method in Prayagraj. Why has it become popular in many parts of the world, and received criticism from some conservationists?","With the stated aim of curbing pollution, the Uttar Pradesh government employed the Miyawaki method in Prayagraj. Why has it become popular in many parts of the world, and received criticism from some conservationists?"
Raveena Tandon slams men for recording Katrina Kaif during her holy dip at Maha Kumbh: Disgusting,"March 02, 2025 3:52 pm","Shortly after Katrina Kaif's visit, a video began circulating on social media showing a group of men secretly recording the Namastey London actor without her consent while making inappropriate comments.","Raveena Tandon slams men for recording Katrina Kaif during her holy dip at Maha Kumbh: Disgusting. Shortly after Katrina Kaif's visit, a video began circulating on social media showing a group of men secretly recording the Namastey London actor without her consent while making inappropriate comments.","Shortly after Katrina Kaif's visit, a video began circulating on social media showing a group of men secretly recording the Namastey London actor without her consent while making inappropriate comments.","Shortly after Katrina Kaif's visit, a video began circulating on social media showing a group of men secretly recording the Namastey London actor without her consent while making inappropriate comments."
Narendra Modi writes: A Mahakumbh for New India,"February 28, 2025 1:06 pm",We must use the energy of the last 45 days in Prayagraj to dedicate ourselves to Viksit Bharat,Narendra Modi writes: A Mahakumbh for New India. We must use the energy of the last 45 days in Prayagraj to dedicate ourselves to Viksit Bharat,We must use the energy of the last 45 days in Prayagraj to dedicate ourselves to Viksit Bharat,Narendra Modi writes: A Mahakumbh for New India. We must use the energy of the last 45 days in Prayagraj to dedicate ourselves to Viksit Bharat
"'I seek forgiveness for any shortcomings,' PM Modi writes in blog as Maha Kumbh concludes","February 27, 2025 9:20 pm","PM Modi offered an apology to ""Mother Ganga, Mother Yamuna, and Mother Saraswati,"" as well as to the people, whom he described as ""an embodiment of divinity,"" for any shortcomings in their efforts to serve them.","'I seek forgiveness for any shortcomings,' PM Modi writes in blog as Maha Kumbh concludes. PM Modi offered an apology to ""Mother Ganga, Mother Yamuna, and Mother Saraswati,"" as well as to the people, whom he described as ""an embodiment of divinity,"" for any shortcomings in their efforts to serve them.","PM Modi offered an apology to ""Mother Ganga, Mother Yamuna, and Mother Saraswati,"" as well as to the people, whom he described as ""an embodiment of divinity,"" for any shortcomings in their efforts to serve them.","PM Modi offered an apology to ""Mother Ganga, Mother Yamuna, and Mother Saraswati,"" as well as to the people, whom he described as ""an embodiment of divinity,"" for any shortcomings in their efforts to serve them."
"How Opposition fell short on Maha Kumbh narrative: Absent Gandhis; Mamata, Lalus remarks","February 28, 2025 8:01 am","Many in the Opposition, including the Congress, believe the criticism of the Centre and the UP government on how the Mela was managed were in order. But the criticism, perhaps, should have been nuanced, they added.","How Opposition fell short on Maha Kumbh narrative: Absent Gandhis; Mamata, Lalus remarks. Many in the Opposition, including the Congress, believe the criticism of the Centre and the UP government on how the Mela was managed were in order. But the criticism, perhaps, should have been nuanced, they added.","Many in the Opposition, including the Congress, believe the criticism of the Centre and the UP government on how the Mela was managed were in order. But the criticism, perhaps, should have been nuanced, they added.","Many in the Opposition, including the Congress, believe the criticism of the Centre and the UP government on how the Mela was managed were in order. But the criticism, perhaps, should have been nuanced, they added."
